investor_id,avg_gap,max_gap,n,at_risk
INV000196,69.0,176.0,6,True
INV000201,51.125,100.0,8,True
INV000205,62.57142857142857,193.0,7,True
INV000210,70.71428571428571,163.0,7,True
INV000214,94.8,306.0,5,True
INV000217,92.0,183.0,5,True
INV000228,59.75,188.0,8,True
INV000236,67.14285714285714,112.0,7,True
INV000238,93.6,287.0,5,True
INV000239,48.857142857142854,105.0,7,True
INV000243,88.2,137.0,5,True
INV000245,92.2,164.0,5,True
INV000249,45.5,162.0,6,True
INV000252,50.4,96.0,5,True
INV000255,48.6,103.0,5,True
INV000256,70.2,155.0,5,True
INV000259,70.6,165.0,5,True
INV000260,59.57142857142857,206.0,7,True
INV000262,53.57142857142857,122.0,7,True
INV000263,68.42857142857143,271.0,7,True
INV000265,53.44444444444444,140.0,9,True
INV000268,62.333333333333336,143.0,6,True
INV000279,43.375,133.0,8,True
INV000280,55.75,191.0,8,True
INV000283,68.0,195.0,5,True
INV000287,69.83333333333333,301.0,6,True
INV000289,62.714285714285715,142.0,7,True
INV000291,89.0,196.0,5,True
INV000292,46.0,95.0,6,True
INV000293,47.0,91.0,6,True
INV000297,90.6,163.0,5,True
INV000299,85.2,240.0,5,True
INV000304,70.0,204.0,6,True
INV000309,52.0,157.0,7,True
INV000310,75.83333333333333,164.0,6,True
INV000318,97.4,175.0,5,True
INV000319,73.5,201.0,6,True
INV000321,72.83333333333333,204.0,6,True
INV000328,37.5,73.0,8,True
INV000331,50.714285714285715,163.0,7,True
INV000334,25.5,60.0,6,False
INV000335,96.0,279.0,5,True
INV000339,94.0,195.0,5,True
INV000341,54.42857142857143,191.0,7,True
INV000356,54.4,157.0,5,True
INV000359,54.125,197.0,8,True
INV000363,77.0,153.0,6,True
INV000369,43.8,112.0,5,True
INV000371,59.285714285714285,147.0,7,True
INV000372,54.5,121.0,6,True
INV000380,97.0,272.0,5,True
INV000388,53.625,119.0,8,True
INV000392,77.16666666666667,205.0,6,True
INV000395,55.666666666666664,119.0,6,True
INV000396,83.2,153.0,5,True
INV000399,49.55555555555556,68.0,9,True
INV000400,62.6,101.0,5,True
INV000403,58.2,90.0,5,True
INV000407,82.4,157.0,5,True
INV000408,46.8,125.0,5,True
INV000412,43.714285714285715,70.0,7,True
INV000414,66.28571428571429,233.0,7,True
INV000415,66.16666666666667,128.0,6,True
INV000418,86.8,238.0,5,True
INV000427,68.5,116.0,6,True
INV000428,52.142857142857146,164.0,7,True
INV000429,77.2,187.0,5,True
INV000437,97.8,295.0,5,True
INV000440,69.57142857142857,162.0,7,True
INV000441,60.8,151.0,5,True
INV000444,73.2,129.0,5,True
INV000445,57.75,129.0,8,True
INV000446,38.6,101.0,5,True
INV000449,46.8,70.0,5,True
INV000452,49.375,123.0,8,True
INV000457,91.4,256.0,5,True
INV000460,43.4,107.0,5,True
INV000463,65.16666666666667,181.0,6,True
INV000466,73.33333333333333,135.0,6,True
INV000467,56.666666666666664,272.0,9,True
INV000469,70.5,183.0,6,True
INV000483,70.42857142857143,252.0,7,True
INV000491,95.0,202.0,5,True
INV000493,47.55555555555556,201.0,9,True
INV000497,71.83333333333333,191.0,6,True
INV000499,77.83333333333333,157.0,6,True
INV000507,70.16666666666667,249.0,6,True
INV000512,54.75,112.0,8,True
INV000522,100.8,309.0,5,True
INV000524,55.0,91.0,6,True
INV000527,50.8,116.0,5,True
INV000529,59.2,110.0,5,True
INV000531,47.0,82.0,6,True
INV000539,77.0,153.0,6,True
INV000540,73.5,123.0,6,True
INV000543,83.66666666666667,218.0,6,True
INV000545,80.6,181.0,5,True
INV000546,55.0,154.0,8,True
INV000547,55.8,140.0,5,True
INV000549,96.2,146.0,5,True
INV000553,72.0,172.0,5,True
INV000554,70.2,171.0,5,True
INV000556,52.42857142857143,156.0,7,True
INV000562,74.4,197.0,5,True
INV000563,76.33333333333333,198.0,6,True
INV000566,35.0,119.0,6,False
INV000567,63.8,166.0,5,True
INV000568,62.4,180.0,5,True
INV000570,67.28571428571429,186.0,7,True
INV000573,50.833333333333336,154.0,6,True
INV000575,71.6,155.0,5,True
INV000578,66.83333333333333,164.0,6,True
INV000581,78.33333333333333,160.0,6,True
INV000586,44.5,111.0,6,True
INV000589,59.125,90.0,8,True
INV000591,64.5,112.0,6,True
INV000593,74.2,179.0,5,True
INV000596,51.75,140.0,8,True
INV000597,88.6,198.0,5,True
INV000599,81.5,171.0,6,True
INV000607,66.66666666666667,209.0,6,True
INV000608,100.2,324.0,5,True
INV000609,47.0,87.0,5,True
INV000612,49.3,169.0,10,True
INV000615,55.833333333333336,139.0,6,True
INV000624,31.666666666666668,53.0,6,False
INV000625,86.4,134.0,5,True
INV000630,68.66666666666667,161.0,6,True
INV000631,54.0,145.0,5,True
INV000634,52.25,147.0,8,True
INV000635,75.0,240.0,5,True
INV000641,54.8,126.0,5,True
INV000642,53.5,139.0,8,True
INV000645,66.0,127.0,5,True
INV000646,62.333333333333336,138.0,6,True
INV000651,94.0,304.0,5,True
INV000652,93.8,262.0,5,True
INV000657,64.71428571428571,106.0,7,True
INV000662,66.14285714285714,185.0,7,True
INV000663,94.4,247.0,5,True
INV000665,36.22222222222222,148.0,9,True
INV000667,68.0,134.0,5,True
INV000673,92.8,235.0,5,True
INV000675,62.8,155.0,5,True
INV000676,35.3,106.0,10,True
INV000678,63.333333333333336,140.0,6,True
INV000683,54.5,137.0,8,True
INV000690,56.285714285714285,134.0,7,True
INV000691,66.4,163.0,5,True
INV000698,52.25,219.0,8,True
INV000699,42.8,147.0,5,True
INV000701,83.66666666666667,298.0,6,True
INV000707,34.375,106.0,8,False
INV000709,65.16666666666667,128.0,6,True
INV000710,88.6,264.0,5,True
INV000714,37.0,95.0,8,True
INV000718,57.833333333333336,118.0,6,True
INV000719,72.83333333333333,185.0,6,True
INV000724,81.2,227.0,5,True
INV000725,67.66666666666667,92.0,6,True
INV000734,64.0,180.0,7,True
INV000737,92.6,168.0,5,True
INV000747,84.6,205.0,5,True
INV000750,26.5,84.0,8,False
INV000751,53.0,193.0,8,True
INV000754,72.33333333333333,103.0,6,True
INV000759,83.0,156.0,6,True
INV000761,75.16666666666667,173.0,6,True
INV000768,60.0,124.0,7,True
INV000772,46.0,81.0,5,True
INV000774,73.66666666666667,169.0,6,True
INV000776,59.42857142857143,116.0,7,True
INV000777,66.0,121.0,5,True
INV000778,59.714285714285715,182.0,7,True
INV000779,75.0,153.0,5,True
INV000783,89.8,187.0,5,True
INV000785,32.6,66.0,5,False
INV000786,64.125,199.0,8,True
INV000789,55.142857142857146,225.0,7,True
INV000793,69.14285714285714,149.0,7,True
INV000803,77.16666666666667,147.0,6,True
INV000814,94.0,195.0,5,True
INV000822,55.5,141.0,6,True
INV000823,39.666666666666664,69.0,6,True
INV000827,58.285714285714285,122.0,7,True
INV000830,72.2,165.0,5,True
INV000833,67.28571428571429,182.0,7,True
INV000836,84.8,123.0,5,True
INV000843,55.6,102.0,5,True
INV000844,66.16666666666667,151.0,6,True
INV000847,47.8,75.0,5,True
INV000853,49.333333333333336,193.0,9,True
INV000854,61.25,170.0,8,True
INV000858,44.875,157.0,8,True
INV000862,91.2,372.0,5,True
INV000864,40.8,106.0,5,True
INV000865,45.75,99.0,8,True
INV000869,65.4,100.0,5,True
INV000873,73.5,299.0,6,True
INV000874,62.125,149.0,8,True
INV000877,59.4,159.0,5,True
INV000881,46.111111111111114,155.0,9,True
INV000887,65.66666666666667,268.0,6,True
INV000888,80.33333333333333,166.0,6,True
INV000893,59.5,147.0,6,True
INV000894,55.0,105.0,5,True
INV000901,54.0,95.0,5,True
INV000907,59.2,139.0,5,True
INV000920,75.6,220.0,5,True
INV000926,80.0,111.0,5,True
INV000929,58.166666666666664,116.0,6,True
INV000930,32.42857142857143,118.0,7,False
INV000935,30.875,73.0,8,False
INV000939,60.57142857142857,154.0,7,True
INV000942,53.0,92.0,6,True
INV000949,67.5,135.0,6,True
INV000950,91.0,215.0,5,True
INV000971,46.833333333333336,139.0,6,True
INV000974,73.5,143.0,6,True
INV000977,48.77777777777778,147.0,9,True
INV000979,79.8,115.0,5,True
INV000980,44.42857142857143,121.0,7,True
INV000981,50.4,104.0,5,True
INV000986,60.833333333333336,182.0,6,True
INV000994,63.8,167.0,5,True
INV001001,60.285714285714285,137.0,7,True
INV001002,41.666666666666664,85.0,6,True
INV001005,93.6,206.0,5,True
INV001008,64.66666666666667,191.0,6,True
INV001013,96.8,164.0,5,True
INV001017,67.0,142.0,5,True
INV001019,44.875,180.0,8,True
INV001021,68.66666666666667,186.0,6,True
INV001023,72.42857142857143,202.0,7,True
INV001025,38.8,76.0,5,True
INV001026,69.4,132.0,5,True
INV001037,42.0,86.0,9,True
INV001039,66.2,187.0,5,True
INV001041,83.0,195.0,6,True
INV001047,66.16666666666667,142.0,6,True
INV001048,47.0,84.0,7,True
INV001051,54.142857142857146,139.0,7,True
INV001053,55.857142857142854,116.0,7,True
INV001055,93.2,177.0,5,True
INV001060,53.375,89.0,8,True
INV001061,51.125,141.0,8,True
INV001063,43.285714285714285,120.0,7,True
INV001064,59.5,160.0,8,True
INV001069,41.285714285714285,98.0,7,True
INV001070,97.0,329.0,5,True
INV001092,77.33333333333333,186.0,6,True
INV001099,26.142857142857142,63.0,7,False
INV001102,55.333333333333336,87.0,6,True
INV001115,81.4,290.0,5,True
INV001116,58.125,194.0,8,True
INV001117,61.714285714285715,137.0,7,True
INV001130,76.83333333333333,131.0,6,True
INV001137,57.0,120.0,6,True
INV001140,60.4,125.0,5,True
INV001141,97.6,132.0,5,True
INV001142,42.833333333333336,106.0,6,True
INV001156,102.4,175.0,5,True
INV001160,57.57142857142857,99.0,7,True
INV001161,80.6,159.0,5,True
INV001163,67.33333333333333,255.0,6,True
INV001167,96.2,207.0,5,True
INV001170,68.2,119.0,5,True
INV001173,67.0,146.0,5,True
INV001178,79.66666666666667,140.0,6,True
INV001180,74.4,198.0,5,True
INV001181,67.42857142857143,163.0,7,True
INV001190,97.0,198.0,5,True
INV001195,53.42857142857143,167.0,7,True
INV001196,92.2,169.0,5,True
INV001202,58.0,103.0,7,True
INV001206,83.6,190.0,5,True
INV001208,51.833333333333336,107.0,6,True
INV001210,36.875,93.0,8,True
INV001217,60.142857142857146,205.0,7,True
INV001219,50.857142857142854,118.0,7,True
INV001220,77.16666666666667,104.0,6,True
INV001223,70.83333333333333,175.0,6,True
INV001234,60.57142857142857,119.0,7,True
INV001235,59.0,161.0,8,True
INV001237,98.0,182.0,5,True
INV001238,68.5,220.0,6,True
INV001242,69.8,128.0,5,True
INV001251,82.0,223.0,5,True
INV001262,44.833333333333336,116.0,6,True
INV001274,73.33333333333333,161.0,6,True
INV001275,66.66666666666667,140.0,6,True
INV001282,67.0,196.0,5,True
INV001287,92.2,157.0,5,True
INV001288,45.666666666666664,148.0,6,True
INV001291,76.2,181.0,5,True
INV001295,50.75,165.0,8,True
INV001298,71.83333333333333,158.0,6,True
INV001299,51.25,121.0,8,True
INV001304,97.6,177.0,5,True
INV001308,54.625,147.0,8,True
INV001310,81.2,232.0,5,True
INV001314,50.44444444444444,130.0,9,True
INV001315,51.833333333333336,124.0,6,True
INV001316,92.4,198.0,5,True
INV001317,84.8,162.0,5,True
INV001318,46.22222222222222,150.0,9,True
INV001326,69.42857142857143,182.0,7,True
INV001329,68.2,97.0,5,True
INV001331,94.2,202.0,5,True
INV001332,80.0,179.0,6,True
INV001333,78.66666666666667,185.0,6,True
INV001336,65.85714285714286,198.0,7,True
INV001348,47.833333333333336,121.0,6,True
INV001351,70.5,208.0,6,True
INV001355,60.2,187.0,5,True
INV001356,79.2,191.0,5,True
INV001359,72.5,313.0,6,True
INV001361,50.5,103.0,6,True
INV001367,99.0,222.0,5,True
INV001375,78.5,176.0,6,True
INV001376,78.66666666666667,181.0,6,True
INV001383,56.142857142857146,117.0,7,True
INV001387,57.25,130.0,8,True
INV001394,63.57142857142857,171.0,7,True
INV001400,76.8,266.0,5,True
INV001401,68.6,197.0,5,True
INV001406,47.666666666666664,202.0,9,True
INV001407,45.2,141.0,5,True
INV001415,68.14285714285714,173.0,7,True
INV001418,88.6,187.0,5,True
INV001419,85.8,137.0,5,True
INV001423,48.57142857142857,105.0,7,True
INV001428,79.4,174.0,5,True
INV001432,71.4,175.0,5,True
INV001434,80.6,178.0,5,True
INV001442,57.125,238.0,8,True
INV001454,73.0,176.0,6,True
INV001455,64.71428571428571,153.0,7,True
INV001457,43.8,63.0,5,True
INV001458,59.833333333333336,101.0,6,True
INV001466,44.6,82.0,5,True
INV001472,79.0,141.0,5,True
INV001482,80.6,280.0,5,True
INV001485,55.0,150.0,8,True
INV001491,98.8,260.0,5,True
INV001497,63.0,138.0,8,True
INV001504,54.25,134.0,8,True
INV001507,86.2,167.0,5,True
INV001510,66.83333333333333,124.0,6,True
INV001514,51.833333333333336,72.0,6,True
INV001516,56.8,85.0,5,True
INV001526,50.4,134.0,5,True
INV001530,64.66666666666667,122.0,6,True
INV001532,56.833333333333336,101.0,6,True
INV001536,69.0,189.0,6,True
INV001545,92.8,208.0,5,True
INV001547,72.16666666666667,119.0,6,True
INV001548,80.6,197.0,5,True
INV001550,79.0,191.0,6,True
INV001551,61.8,131.0,5,True
INV001562,44.22222222222222,146.0,9,True
INV001564,55.714285714285715,157.0,7,True
INV001569,83.4,314.0,5,True
INV001579,75.0,193.0,6,True
INV001580,45.666666666666664,119.0,6,True
INV001585,56.6,182.0,5,True
INV001587,65.0,144.0,6,True
INV001597,56.0,165.0,6,True
INV001599,58.2,133.0,5,True
INV001602,93.8,294.0,5,True
INV001603,54.5,93.0,6,True
INV001605,60.57142857142857,136.0,7,True
INV001606,67.66666666666667,148.0,6,True
INV001616,53.0,117.0,8,True
INV001623,92.0,188.0,5,True
INV001625,72.0,209.0,5,True
INV001628,51.714285714285715,139.0,7,True
INV001629,67.5,82.0,6,True
INV001631,57.0,101.0,5,True
INV001636,48.875,159.0,8,True
INV001641,88.4,168.0,5,True
INV001644,65.6,89.0,5,True
INV001645,67.6,202.0,5,True
INV001649,51.666666666666664,120.0,9,True
INV001651,78.66666666666667,130.0,6,True
INV001653,55.2,94.0,5,True
INV001654,56.0,137.0,6,True
INV001656,59.857142857142854,246.0,7,True
INV001662,60.2,147.0,5,True
INV001672,34.0,130.0,8,False
INV001673,49.3,181.0,10,True
INV001680,58.875,200.0,8,True
INV001683,72.5,186.0,6,True
INV001689,83.6,153.0,5,True
INV001690,81.16666666666667,114.0,6,True
INV001691,82.0,254.0,5,True
INV001694,66.14285714285714,144.0,7,True
INV001697,62.5,287.0,8,True
INV001699,83.2,183.0,5,True
INV001709,51.8,84.0,5,True
INV001711,65.83333333333333,189.0,6,True
INV001712,66.6,144.0,5,True
INV001715,68.28571428571429,188.0,7,True
INV001718,84.0,237.0,5,True
INV001724,69.66666666666667,134.0,6,True
INV001728,50.57142857142857,131.0,7,True
INV001737,56.833333333333336,191.0,6,True
INV001738,47.5,153.0,8,True
INV001739,52.5,96.0,8,True
INV001741,89.4,260.0,5,True
INV001744,78.5,155.0,6,True
INV001752,69.33333333333333,170.0,6,True
INV001753,42.8,128.0,10,True
INV001757,55.57142857142857,121.0,7,True
INV001759,49.55555555555556,126.0,9,True
INV001769,98.0,166.0,5,True
INV001772,95.0,184.0,5,True
INV001775,29.142857142857142,65.0,7,False
INV001777,57.625,156.0,8,True
INV001778,63.57142857142857,283.0,7,True
INV001797,79.66666666666667,132.0,6,True
INV001800,49.666666666666664,132.0,6,True
INV001802,61.666666666666664,151.0,6,True
INV001803,59.0,127.0,5,True
INV001804,55.857142857142854,126.0,7,True
INV001806,60.0,209.0,7,True
INV001809,95.6,249.0,5,True
INV001811,54.25,196.0,8,True
INV001822,19.8,43.0,5,False
INV001823,58.142857142857146,172.0,7,True
INV001826,51.2,128.0,5,True
INV001828,44.42857142857143,91.0,7,True
INV001831,72.8,181.0,5,True
INV001837,62.833333333333336,157.0,6,True
INV001841,56.2,129.0,5,True
INV001853,47.42857142857143,95.0,7,True
INV001858,55.142857142857146,261.0,7,True
INV001865,63.5,145.0,6,True
INV001866,58.8,117.0,5,True
INV001870,76.0,164.0,6,True
INV001871,55.0,101.0,6,True
INV001883,99.2,203.0,5,True
INV001885,71.2,128.0,5,True
INV001886,50.75,129.0,8,True
INV001890,102.6,207.0,5,True
INV001891,96.4,261.0,5,True
INV001909,62.142857142857146,121.0,7,True
INV001912,86.4,256.0,5,True
INV001920,39.0,76.0,6,True
INV001921,68.57142857142857,225.0,7,True
INV001923,80.66666666666667,106.0,6,True
INV001924,59.166666666666664,119.0,6,True
INV001927,58.8,91.0,5,True
INV001929,66.2,242.0,5,True
INV001937,60.42857142857143,253.0,7,True
INV001938,43.0,112.0,8,True
INV001943,74.4,171.0,5,True
INV001950,60.166666666666664,134.0,6,True
INV001951,58.833333333333336,124.0,6,True
INV001954,86.8,273.0,5,True
INV001955,76.0,199.0,5,True
INV001961,83.4,234.0,5,True
INV001969,79.2,163.0,5,True
INV001971,54.714285714285715,87.0,7,True
INV001972,42.42857142857143,153.0,7,True
INV001978,83.2,112.0,5,True
INV001979,55.4,100.0,5,True
INV001982,85.8,289.0,5,True
INV001986,47.666666666666664,98.0,6,True
INV001987,67.0,241.0,6,True
INV001990,45.285714285714285,91.0,7,True
INV001993,56.6,147.0,5,True
INV001995,48.6,94.0,5,True
INV001997,88.6,168.0,5,True
INV002001,84.8,335.0,5,True
INV002006,73.6,157.0,5,True
INV002010,74.6,103.0,5,True
INV002017,44.666666666666664,99.0,6,True
INV002018,63.6,106.0,5,True
INV002019,68.8,117.0,5,True
INV002025,55.833333333333336,92.0,6,True
INV002033,55.0,123.0,6,True
INV002034,69.0,166.0,7,True
INV002037,33.2,61.0,5,False
INV002038,84.0,202.0,5,True
INV002051,78.6,159.0,5,True
INV002052,44.166666666666664,114.0,6,True
INV002069,47.55555555555556,95.0,9,True
INV002070,81.33333333333333,118.0,6,True
INV002083,51.666666666666664,193.0,9,True
INV002085,65.0,220.0,5,True
INV002090,90.2,231.0,5,True
INV002092,33.5,54.0,6,False
INV002101,80.2,248.0,5,True
INV002102,44.8,63.0,5,True
INV002107,71.14285714285714,298.0,7,True
INV002111,62.42857142857143,123.0,7,True
INV002119,78.0,195.0,5,True
INV002121,68.5,197.0,6,True
INV002122,40.333333333333336,97.0,6,True
INV002127,60.2,113.0,5,True
INV002134,82.66666666666667,180.0,6,True
INV002138,91.8,189.0,5,True
INV002142,45.5,162.0,8,True
INV002143,63.57142857142857,148.0,7,True
INV002149,42.285714285714285,215.0,7,True
INV002150,73.6,216.0,5,True
INV002151,60.375,201.0,8,True
INV002153,67.83333333333333,194.0,6,True
INV002154,89.4,175.0,5,True
INV002155,78.0,190.0,5,True
INV002157,58.5,142.0,6,True
INV002159,65.0,104.0,5,True
INV002162,58.375,198.0,8,True
INV002166,99.2,248.0,5,True
INV002171,55.833333333333336,150.0,6,True
INV002177,73.0,330.0,6,True
INV002178,66.42857142857143,236.0,7,True
INV002179,54.142857142857146,171.0,7,True
INV002182,70.5,148.0,6,True
INV002185,48.4,92.0,5,True
INV002186,74.83333333333333,167.0,6,True
INV002187,67.83333333333333,221.0,6,True
INV002195,49.25,154.0,8,True
INV002196,62.142857142857146,115.0,7,True
INV002198,43.0,93.0,8,True
INV002199,50.833333333333336,94.0,6,True
INV002202,70.42857142857143,276.0,7,True
INV002206,49.0,141.0,6,True
INV002208,71.33333333333333,142.0,6,True
INV002211,63.833333333333336,109.0,6,True
INV002216,61.714285714285715,172.0,7,True
INV002218,67.8,181.0,5,True
INV002219,70.85714285714286,166.0,7,True
INV002228,68.6,109.0,5,True
INV002229,64.6,101.0,5,True
INV002230,57.57142857142857,171.0,7,True
INV002232,69.16666666666667,174.0,6,True
INV002236,73.66666666666667,119.0,6,True
INV002237,51.666666666666664,142.0,6,True
INV002240,77.83333333333333,266.0,6,True
INV002241,65.66666666666667,124.0,6,True
INV002251,62.6,157.0,5,True
INV002256,75.6,115.0,5,True
INV002259,45.333333333333336,89.0,6,True
INV002260,77.8,235.0,5,True
INV002265,63.166666666666664,244.0,6,True
INV002277,67.33333333333333,127.0,6,True
INV002280,71.66666666666667,182.0,6,True
INV002282,53.2,102.0,5,True
INV002284,85.0,277.0,5,True
INV002290,61.6,112.0,5,True
INV002294,48.714285714285715,163.0,7,True
INV002295,64.5,159.0,6,True
INV002298,23.2,37.0,5,False
INV002304,42.55555555555556,104.0,9,True
INV002315,71.83333333333333,174.0,6,True
INV002319,60.0,123.0,6,True
INV002322,63.4,102.0,5,True
INV002327,76.4,215.0,5,True
INV002329,57.0,183.0,6,True
INV002342,74.2,212.0,5,True
INV002343,57.75,115.0,8,True
INV002347,40.5,79.0,8,True
INV002348,94.4,166.0,5,True
INV002349,52.2,75.0,5,True
INV002351,77.2,204.0,5,True
INV002357,68.33333333333333,240.0,6,True
INV002360,56.125,129.0,8,True
INV002361,55.4,198.0,5,True
INV002367,52.5,134.0,6,True
INV002368,61.166666666666664,215.0,6,True
INV002369,60.0,136.0,5,True
INV002370,70.16666666666667,237.0,6,True
INV002372,95.2,133.0,5,True
INV002373,70.14285714285714,154.0,7,True
INV002374,21.2,34.0,5,False
INV002384,39.111111111111114,92.0,9,True
INV002388,33.2,84.0,5,False
INV002389,50.77777777777778,126.0,9,True
INV002390,47.0,100.0,5,True
INV002391,40.2,124.0,5,True
INV002395,97.0,225.0,5,True
INV002400,55.375,141.0,8,True
INV002401,59.142857142857146,125.0,7,True
INV002402,47.166666666666664,89.0,6,True
INV002407,47.833333333333336,167.0,6,True
INV002409,55.57142857142857,125.0,7,True
INV002413,53.0,189.0,7,True
INV002415,57.42857142857143,110.0,7,True
INV002417,83.33333333333333,190.0,6,True
INV002418,91.6,128.0,5,True
INV002420,72.8,107.0,5,True
INV002422,50.333333333333336,139.0,9,True
INV002429,78.6,216.0,5,True
INV002434,88.2,217.0,5,True
INV002437,49.166666666666664,212.0,6,True
INV002445,38.142857142857146,117.0,7,True
INV002453,63.0,87.0,6,True
INV002458,72.4,232.0,5,True
INV002459,53.714285714285715,161.0,7,True
INV002463,95.4,236.0,5,True
INV002464,35.4,97.0,5,True
INV002466,80.66666666666667,270.0,6,True
INV002467,38.857142857142854,116.0,7,True
INV002471,56.4,98.0,5,True
INV002475,49.666666666666664,119.0,9,True
INV002476,86.0,235.0,5,True
INV002485,70.4,136.0,5,True
INV002490,70.0,125.0,7,True
INV002495,82.2,174.0,5,True
INV002496,53.0,156.0,5,True
INV002497,67.28571428571429,152.0,7,True
INV002508,51.625,171.0,8,True
INV002509,33.666666666666664,74.0,9,False
INV002510,64.33333333333333,176.0,6,True
INV002521,74.6,206.0,5,True
INV002527,49.666666666666664,93.0,6,True
INV002530,71.42857142857143,175.0,7,True
INV002531,76.33333333333333,182.0,6,True
INV002543,74.66666666666667,116.0,6,True
INV002547,89.0,181.0,5,True
INV002552,48.22222222222222,184.0,9,True
INV002554,49.666666666666664,100.0,6,True
INV002555,72.0,172.0,6,True
INV002557,67.16666666666667,264.0,6,True
INV002558,97.6,297.0,5,True
INV002560,95.2,155.0,5,True
INV002563,65.8,114.0,5,True
INV002567,82.0,127.0,5,True
INV002568,61.57142857142857,144.0,7,True
INV002570,62.0,150.0,6,True
INV002572,55.714285714285715,108.0,7,True
INV002574,79.4,139.0,5,True
INV002575,56.125,128.0,8,True
INV002579,40.8,71.0,5,True
INV002582,77.4,173.0,5,True
INV002585,65.0,124.0,5,True
INV002586,87.2,168.0,5,True
INV002590,50.22222222222222,125.0,9,True
INV002591,52.2,139.0,5,True
INV002594,94.0,244.0,5,True
INV002598,51.375,179.0,8,True
INV002602,66.0,151.0,7,True
INV002606,89.6,248.0,5,True
INV002613,65.0,143.0,7,True
INV002622,76.66666666666667,244.0,6,True
INV002627,85.0,182.0,5,True
INV002628,77.0,322.0,5,True
INV002632,65.57142857142857,180.0,7,True
INV002640,70.0,153.0,6,True
INV002643,74.2,229.0,5,True
INV002645,45.166666666666664,133.0,6,True
INV002654,61.857142857142854,115.0,7,True
INV002659,62.333333333333336,224.0,6,True
INV002666,53.166666666666664,100.0,6,True
INV002671,77.16666666666667,163.0,6,True
INV002673,65.0,147.0,7,True
INV002674,75.8,153.0,5,True
INV002675,63.857142857142854,138.0,7,True
INV002681,83.66666666666667,161.0,6,True
INV002684,80.6,266.0,5,True
INV002688,37.0,122.0,8,True
INV002689,50.0,115.0,7,True
INV002693,45.833333333333336,72.0,6,True
INV002697,55.333333333333336,199.0,6,True
INV002700,79.83333333333333,140.0,6,True
INV002704,59.142857142857146,139.0,7,True
INV002705,22.571428571428573,70.0,7,False
INV002706,73.6,133.0,5,True
INV002711,65.57142857142857,230.0,7,True
INV002712,46.8,174.0,10,True
INV002722,61.4,178.0,5,True
INV002723,37.75,102.0,8,True
INV002724,76.6,187.0,5,True
INV002726,45.57142857142857,84.0,7,True
INV002732,70.71428571428571,151.0,7,True
INV002733,51.57142857142857,150.0,7,True
INV002735,68.16666666666667,136.0,6,True
INV002736,70.6,323.0,5,True
INV002737,58.42857142857143,104.0,7,True
INV002743,88.2,190.0,5,True
INV002744,52.888888888888886,139.0,9,True
INV002746,68.0,206.0,7,True
INV002750,72.4,254.0,5,True
INV002751,41.5,102.0,6,True
INV002758,81.0,263.0,5,True
INV002761,80.6,312.0,5,True
INV002766,70.6,151.0,5,True
INV002767,55.333333333333336,145.0,6,True
INV002769,82.0,141.0,6,True
INV002772,74.5,168.0,6,True
